raw_component_name,id
DR-FCP-SVM/DR_SMVBO2_SVNG_DB_DATA,component_name_1402
DR-FCP-SVM/DR_SMVBO2_SVNG_DB_DATA_03,component_name_1401
DR-FCP-SVM/DR_SMVBO2_SVNG_DB_DATA_2,component_name_1400
DRQPLTDB_QP-DR-DB,component_name_176
DefaultAppPool/Summary,component_name_35
DefaultAppPool/w3wp#10,component_name_36
DefaultAppPool/w3wp#11,component_name_154
DefaultAppPool\Summary,component_name_1314
DefaultAppPool\w3wp#10,component_name_1315
DefaultAppPool\w3wp#11,component_name_1360
DomainController,component_name_602
EC2,component_name_1324
EDQ_DB_RAC:1580,component_name_402
ELOTA,component_name_98
ELOTB,component_name_103
ELOTC,component_name_99
ELOTD,component_name_96
ELOTE,component_name_101
ELOTF,component_name_97
ELOTG,component_name_100
ELOTH,component_name_102
ELOTNA,component_name_12
ELOTNB,component_name_9
ELOTNC,component_name_8
ELOTND,component_name_10
ELOTNE,component_name_6
ELOTNF,component_name_11
ELOTNG,component_name_7
ELOTNH,component_name_13
ELoanCBSCL1555,component_name_733
EXTRACT/<component_name_100>,component_name_505
EXTRACT/<component_name_101>,component_name_507
EXTRACT/<component_name_102>,component_name_509
EXTRACT/<component_name_103>,component_name_511
EXTRACT/<component_name_10>,component_name_252
EXTRACT/<component_name_11>,component_name_254
EXTRACT/<component_name_12>,component_name_256
EXTRACT/<component_name_13>,component_name_258
EXTRACT/<component_name_173>,component_name_1174
EXTRACT/<component_name_174>,component_name_1176
EXTRACT/<component_name_175>,component_name_1178
EXTRACT/<component_name_54>,component_name_416
EXTRACT/<component_name_55>,component_name_418
EXTRACT/<component_name_56>,component_name_420
EXTRACT/<component_name_57>,component_name_422
EXTRACT/<component_name_58>,component_name_424
EXTRACT/<component_name_6>,component_name_244
EXTRACT/<component_name_7>,component_name_246
EXTRACT/<component_name_83>,component_name_461
EXTRACT/<component_name_87>,component_name_465
EXTRACT/<component_name_88>,component_name_468
EXTRACT/<component_name_89>,component_name_470
EXTRACT/<component_name_8>,component_name_248
EXTRACT/<component_name_91>,component_name_475
EXTRACT/<component_name_96>,component_name_497
EXTRACT/<component_name_97>,component_name_499
EXTRACT/<component_name_98>,component_name_501
EXTRACT/<component_name_99>,component_name_503
EXTRACT/<component_name_9>,component_name_250
EYLOAN_,component_name_241
EYLOAN_Oracle_DB,component_name_169
EmployeeLoan1620,component_name_726
FIGW_DB,component_name_615
FIGW_REP,component_name_1299
HRISDB,component_name_459
HRISDB-Prod,component_name_566
HRISDB-Prod:1433,component_name_118
HRIS_Prod,component_name_104
HomePage,component_name_332
HomePage.,component_name_262
Huawei-VPN-KBZ-200-VPC:vpn-0345f01d382a67d9a,component_name_693
Huawei-VPN-KBZ-UAT-VPC:vpn-093fb37d16116b2dd,component_name_495
Huawei_MMF_KBZ_Prod_VPC_Static_Rout,component_name_525
IBAPP_Node1,component_name_195
IBDB_,component_name_341
